Question,Answer
"치대 학생인데, 장학금을 받고싶어. ",https://dent.knu.ac.kr/
의학과 교육과정을 알려줘,https://med.knu.ac.kr/pages/sub.htm?nav_code=knu1670508555
컴학 공지사항 알려줘,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&lang=kor
AIcoss 학생인데 gpu 서버 사용하고 싶어,https://aicoss.knu.ac.kr/gpu/list.do
인컴 교육과정 알려줘,https://cse.knu.ac.kr/sub3_3_b.php
컴학 홍보단에 대해서 알려줘,https://cse.knu.ac.kr/sub6_2.php
경북대 대학원에 대해서 알려줘,https://grad.knu.ac.kr/
아동학 전공 졸업요건을 알려줘,https://child.knu.ac.kr/
수강신청 날짜 알려줘 ,https://www.knu.ac.kr/wbbs/wbbs/user/yearSchedule/index.action?menu_idx=43
오늘 휴학 신청 가능해?,https://www.knu.ac.kr/wbbs/wbbs/user/yearSchedule/index.action?menu_idx=43
"나 장애인인데, 지원 받을 수 있는 거 알려줘",https://www.knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=campus/service03&menu_idx=148
교수님 이메일 찾는 방법 알려줘,https://www.knu.ac.kr/wbbs/wbbs/user/search/personnel/index.action?menu_idx=30
경북대 강사 지원하고 싶어,https://www.knu.ac.kr/wbbs/wbbs/bbs/btin/list.action?bbs_cde=32&menu_idx=221
나 장학금 받고 싶어,https://ssw.knu.ac.kr/
컴학 교수님들 알려줘,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub2_1&lang=kor
"외국인인데, 입학하고 싶습니다.",https://international.knu.ac.kr/HOME/global/sub.htm?nav_code=glo1549935033
경북대 서포터즈에 대해 알려줘, https://www.knu.ac.kr/wbbs/wbbs/bbs/btin/list.action?bbs_cde=1&menu_idx=67
기숙사에 대해 알고싶어,https://dorm.knu.ac.kr/_new_ver/
경북대 찾아가는 방법 알고싶어,https://www.knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=intro/map01&menu_idx=24
경북대에서 논문 검색하는 곳 알려줘,https://www.knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=research/thesis01&menu_idx=66
해외 인턴 가고싶어,https://international.knu.ac.kr/HOME/global/sub.htm?nav_code=glo1549934977
컴학 학사에 물어보고 싶어,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub2_5&lang=kor
국문학과 관련된 사이트를 알려줘,https://korean.knu.ac.kr/
보건 진료소에 대해 알려줘,https://www.knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=campus/service02_02&menu_idx=147
창업 지원에 대해 알려줘,https://iac.knu.ac.kr/changup/
수학과 교육과정 알려줘,https://knuin.knu.ac.kr/public/stddm/edu.knu?itttn_cd=1301
수강신청에 대해 알려줘,https://www.knu.ac.kr/wbbs/wbbs/bbs/btin/stdViewBtin.action?search_type=&search_text=&popupDeco=&note_div=top&bltn_no=11722213103797&menu_idx=42&bbs_cde=stu_812
경북대 BK21 알려줘,https://knubk21four.knu.ac.kr/
학식 먹을 수 있는 곳 알려줘,https://coop.knu.ac.kr/sub03/sub01_01.html?shop_sqno=46&selDate
예비군 지침에 대해 알려줘,https://www.knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=campus/yebigun&menu_idx=243
전자과 관련 연구소 소개해줘,https://see.knu.ac.kr/content/research/laboratory.html
경북대 동창회에 대해 알려줘,https://alumni.knu.ac.kr/s/knu/main.do
경북대 컴학 관련된 연구소를 알려줘,"https://swrc.knu.ac.kr/ , https://connected.knu.ac.kr/"
컴학 취업 수기 있어?,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub6_4&lang=kor
